Name Of Recipe,Image,Ingridients,Procedure,Time (minutes),Budget,Vegan,Dairy
Creamy Chicken Alfredo,alfredo.jpg,"Fettuccine, chicken breast, cream, garlic, parmesan, olive oil, salt, pepper",Boil pasta. Sauté garlic and chicken. Add cream and cheese. Mix with pasta.,40,9.75,0,1
Beef Stroganoff,stroganoff.jpg,"Beef, mushrooms, onion, garlic, sour cream, pasta, olive oil, salt, pepper",Cook beef and mushrooms with onions. Add sour cream. Serve with pasta.,45,12.4,0,0
Baked Ziti with Ricotta,ziti.jpg,"Ziti pasta, ricotta cheese, mozzarella, marinara sauce, basil, garlic, olive oil",Cook pasta. Mix with sauce and cheeses. Bake until bubbly and golden.,50,7.6,0,0
Shrimp Fried Rice,shrimp_rice.jpg,"Rice, shrimp, eggs, green peas, carrots, soy sauce, sesame oil, garlic",Stir-fry vegetables and shrimp. Add rice and scrambled eggs. Mix in soy sauce.,25,11.25,0,0
Stuffed Bell Peppers,peppers.jpg,"Bell peppers, ground beef, rice, tomato sauce, onion, garlic, cheese",Stuff peppers with beef and rice mixture. Bake with tomato sauce and cheese.,60,13.9,0,1
Garlic Butter Salmon,salmon.jpg,"Salmon fillets, garlic, butter, lemon juice, parsley, salt, pepper","Melt butter in a pan, add garlic, sear salmon skin side down, flip and baste with garlic butter, finish with lemon juice and parsley.",25,10.75,0,1
Chickpea Spinach Stew,chickpea_stew.jpg,"Chickpeas, spinach, onion, garlic, tomato paste, cumin, olive oil, vegetable broth","Sauté onions and garlic in olive oil. Add tomato paste, cumin, chickpeas, and broth. Simmer and stir in spinach.",35,6.4,1,0
Mushroom Risotto,risotto.jpg,"Arborio rice, mushrooms, onion, garlic, white wine, vegetable broth, parmesan, butter","Sauté onions and garlic, add mushrooms. Stir in rice and wine. Gradually add broth, stirring until creamy. Finish with butter and cheese.",60,8.95,0,0
BBQ Pulled Jackfruit Sandwiches,jackfruit_bbq.jpg,"Canned jackfruit, BBQ sauce, onion, garlic, buns, coleslaw mix","Shred jackfruit, sauté with onion and garlic. Add BBQ sauce, simmer. Serve on buns with coleslaw.",40,7.5,1,0
Thai Green Curry,green_curry.jpg,"Green curry paste, coconut milk, chicken or tofu, eggplant, bamboo shoots, basil, fish sauce","Sauté curry paste, add coconut milk, protein, and vegetables. Simmer until cooked. Garnish with basil.",45,11.25,1,0
